CustomerID,Recommendations
C0001,"[('C0137', 0.988), ('C0107', 0.966), ('C0152', 0.955)]"
C0002,"[('C0142', 0.975), ('C0043', 0.962), ('C0088', 0.957)]"
C0003,"[('C0133', 0.904), ('C0190', 0.871), ('C0052', 0.847)]"
C0004,"[('C0113', 0.987), ('C0165', 0.982), ('C0102', 0.967)]"
C0005,"[('C0159', 0.996), ('C0123', 0.985), ('C0186', 0.978)]"
C0006,"[('C0168', 0.978), ('C0187', 0.928), ('C0158', 0.923)]"
C0007,"[('C0140', 0.981), ('C0080', 0.954), ('C0078', 0.95)]"
C0008,"[('C0109', 0.914), ('C0139', 0.902), ('C0194', 0.899)]"
C0009,"[('C0060', 0.978), ('C0014', 0.97), ('C0198', 0.96)]"
C0010,"[('C0121', 0.95), ('C0199', 0.948), ('C0166', 0.906)]"
C0011,"[('C0048', 0.983), ('C0107', 0.983), ('C0001', 0.923)]"
C0012,"[('C0102', 0.988), ('C0155', 0.985), ('C0104', 0.978)]"
C0013,"[('C0188', 0.989), ('C0099', 0.985), ('C0155', 0.982)]"
C0014,"[('C0198', 0.989), ('C0060', 0.978), ('C0009', 0.97)]"
C0015,"[('C0131', 0.981), ('C0058', 0.98), ('C0036', 0.977)]"
C0016,"[('C0183', 0.962), ('C0026', 0.843), ('C0125', 0.842)]"
C0017,"[('C0124', 0.987), ('C0075', 0.969), ('C0109', 0.872)]"
C0018,"[('C0046', 0.826), ('C0079', 0.808), ('C0117', 0.797)]"
C0019,"[('C0172', 0.996), ('C0119', 0.92), ('C0127', 0.896)]"
C0020,"[('C0042', 0.959), ('C0144', 0.902), ('C0078', 0.897)]"
C0021,"[('C0101', 0.981), ('C0145', 0.979), ('C0173', 0.979)]"
C0022,"[('C0143', 0.907), ('C0173', 0.88), ('C0145', 0.878)]"
C0023,"[('C0100', 0.998), ('C0105', 0.962), ('C0051', 0.952)]"
C0024,"[('C0194', 0.992), ('C0139', 0.978), ('C0098', 0.965)]"
C0025,"[('C0077', 0.985), ('C0032', 0.983), ('C0083', 0.98)]"
C0026,"[('C0117', 0.964), ('C0079', 0.938), ('C0185', 0.921)]"
C0027,"[('C0142', 0.961), ('C0177', 0.935), ('C0178', 0.92)]"
C0028,"[('C0143', 0.99), ('C0045', 0.99), ('C0054', 0.98)]"
C0029,"[('C0094', 0.98), ('C0157', 0.958), ('C0189', 0.929)]"
C0030,"[('C0038', 0.996), ('C0055', 0.971), ('C0189', 0.967)]"
C0031,"[('C0192', 0.98), ('C0025', 0.978), ('C0071', 0.964)]"
C0032,"[('C0083', 0.999), ('C0077', 0.996), ('C0025', 0.983)]"
C0033,"[('C0058', 0.964), ('C0180', 0.943), ('C0060', 0.938)]"
C0034,"[('C0049', 0.897), ('C0024', 0.884), ('C0160', 0.88)]"
C0035,"[('C0036', 0.954), ('C0131', 0.945), ('C0125', 0.936)]"
C0036,"[('C0131', 0.995), ('C0144', 0.981), ('C0015', 0.977)]"
C0037,"[('C0149', 0.992), ('C0064', 0.983), ('C0170', 0.957)]"
